Title, Platform, Date 
Andromeda Zombies Colonies, PC, February 7, 2021 
DrakulA, PC, February 7, 2021 
Angelic Dreams, PC, February 6, 2021 
CrazyDoc, PC, February 6, 2021 
Squirrel Divorce, PC, February 6, 2021 
Swiss Alps Jigsaw Puzzles, PC, February 6, 2021 
Plot of the Druid: Nightwatch, PC, February 6, 2021 
Save the world, PC, February 6, 2021 
Kinetic Edge, PC, February 5, 2021 
Comet 64, PC, February 5, 2021 
Hellcraze, PC, February 5, 2021 
Light's Out, PC, February 5, 2021 
Nioh 2: The Complete Edition, PC, February 5, 2021 
Glittering Sword, PC, February 5, 2021 
EXOTIUM - Episode 6, PC, February 5, 2021 
Tavern Tales: Tabletop Adventures, PC, February 5, 2021 
The Great Plague Exodus, PC, February 5, 2021 
Megacraft Hentai Survival, PC, February 5, 2021 
Bounce (Rare Camel Studios), PC, February 5, 2021 
Slay the Dragon!, PC, February 5, 2021 
Bog Lord, PC, February 5, 2021 
Beyond Horror: Episode One, A Father's Journey, PC, February 5, 2021 
Assault, PC, February 5, 2021 
BulletGarden, PC, February 5, 2021 
Elly, PC, February 5, 2021 
Sun Meiqi Mystery Season 4, PC, February 5, 2021 
Forest Dash, PC, February 5, 2021 
Underland, PC, February 5, 2021 
Lonely Catgirl is the Purrfect P***y, PC, February 5, 2021 
Biotech Samurai, PC, February 5, 2021 
Draft Day Sports: College Football 2021, PC, February 5, 2021 
The Build And Race Hotrod Game, PC, February 5, 2021 
OLEG MONGOL, PC, February 5, 2021 
Sprint Racer, PC, February 5, 2021 
Green world: Catharsis, PC, February 5, 2021 
Crime Stories 2: In the Shadows, PC, February 5, 2021 
POSSESSED BLOODY ASYLUM, PC, February 5, 2021 
Buyhads, PC, February 5, 2021 
Royale Island Showdown, PC, February 5, 2021 
aerofly RC 8, PC, February 5, 2021 
Dead Herring VR, PC, February 5, 2021 
NinjaGirlArune, PC, February 5, 2021 
Rolf, PC, February 5, 2021 
Fear surrounds, PC, February 5, 2021 
Unlasting Horror, PC, February 4, 2021 
Werewolf: The Apocalypse - Earthblood, PC, February 4, 2021 
Henry Mosse and the Wormhole Conspiracy, PC, February 4, 2021 
PRIMAL DUNGEON, PC, February 4, 2021 
NUTS, PC, February 4, 2021 
Blue Fire, PC, February 4, 2021 
qomp, PC, February 4, 2021 
Battlecruisers, PC, February 4, 2021 
H.E.L.L. Shuffle, PC, February 4, 2021 
Cartridge Monsters, PC, February 4, 2021 
Worm Adventure 4: Into the Wormhole, PC, February 4, 2021 
Infected Prison, PC, February 4, 2021 
Field of Glory II: Medieval, PC, February 4, 2021 
MONOLISK, PC, February 4, 2021 
My Ten-day Girlfriend, PC, February 4, 2021 
Fortuito: Lost History, PC, February 4, 2021 
Extreme Soccer, PC, February 4, 2021 
Rope Cow I - Rope it to The Cow, PC, February 4, 2021 
A Hole In Space, PC, February 4, 2021 
Legend Of Vengeancev, PC, February 4, 2021 
The Revelation of Gensokyo, PC, February 4, 2021 
Vectors, PC, February 4, 2021 
Haunted Nightmares, PC, February 4, 2021 
Ascension, PC, February 4, 2021 
Moon Caves, PC, February 4, 2021 
Nemesis - RPG, PC, February 4, 2021 
Chess Brain: Dark Troops, PC, February 4, 2021 
Lumpy, PC, February 4, 2021 
Madness Robots, PC, February 4, 2021 
Remember When, PC, February 4, 2021 
Project Hive, PC, February 4, 2021 
Athena, the rabbit - Jigsaw Puzzle, PC, February 4, 2021 
Dream Escape, PC, February 4, 2021 
Cat's Menace, PC, February 4, 2021 
Binarystar Infinity, PC, February 4, 2021 
Love in the distance, PC, February 4, 2021 
PetrifactionUnderRuin, PC, February 4, 2021 
Goblin Dungeoneer, PC, February 4, 2021 
A Day, PC, February 4, 2021 
Dangerous Solitaire. Zombie Fever, PC, February 4, 2021 
Rite of Passage: Embrace of Ember Lake, PC, February 4, 2021 
Paint By Numbers 7, PC, February 4, 2021 
Muv-Luv Unlimited: The Day After - Episode 00, PC, February 4, 2021 
Muv-Luv Unlimited: The Day After - Episode 01, PC, February 4, 2021 
Muv-Luv Unlimited: The Day After - Episode 02, PC, February 4, 2021 
Muv-Luv Unlimited: The Day After - Episode 03, PC, February 4, 2021 
Kemuri Hi, PC, February 3, 2021 
Rugby Challenge 4, PC, February 3, 2021 
Lamplighter, PC, February 3, 2021 
Ink., PC, February 3, 2021 
Habroxia 2, PC, February 3, 2021 
The Legend of the Three Kingdoms, PC, February 3, 2021 
SkyPrimal, PC, February 3, 2021 
Final Winter, PC, February 3, 2021 
Retrowave Drive, PC, February 3, 2021 
Inversion (Dnovel), PC, February 3, 2021 
