Title, Platform, Date 
lumen., iOS(Apple Arcade), February 5, 2021 
The Captain is Dead, iOS, January 31, 2021 
Populus Run, iOS(Apple Arcade), January 29, 2021 
Dragon Quest Tact, iOS, January 27, 2021 
NUTS, iOS(Apple Arcade), January 22, 2021 
Spire Blast, iOS(Apple Arcade), January 22, 2021 
SpongeBob SquarePants: Battle for Bikini Bottom, iOS, January 21, 2021 
Princess Connect! Re:Dive, iOS, January 19, 2021 
Warhammer 40,000: Lost Crusade, iOS, January 19, 2021 
Oceanhorn: Chronos Dungeon, iOS(Apple Arcade), January 8, 2021 
Stella Arcana- Eternal Stars, iOS, January 6, 2021 
Flipchamps Dual Strike, iOS, January 5, 2021 
Doodle Jump 2, iOS, December 20, 2020 
Star Wars: Knights of the Old Republic II - The Sith Lords, iOS, December 18, 2020 
Prizefighters 2, iOS, December 16, 2020 
MARVEL Realm of Champions, iOS, December 15, 2020 
Primrose Lake: Twists of Fate, iOS, December 14, 2020 
Alba: a Wildlife Adventure, iOS, December 11, 2020 
Orwell's Animal Farm, iOS, December 10, 2020 
SteamWorld Quest, iOS, December 10, 2020 
NBA SuperCard: All Star Battle, iOS, December 9, 2020 
Bloodstained: Ritual of the Night, iOS, December 4, 2020 
Zombie Rollerz: Pinball Heroes, iOS(Apple Arcade), December 4, 2020 
There is No Game: Jam Edition, iOS, December 4, 2020 
The Complex, iOS, December 3, 2020 
Sleepy Squares, iOS, December 2, 2020 
WWE Undefeated, iOS, November 30, 2020 
Clusterduck, iOS, November 30, 2020 
Warp Drive - Teleport Racing!, iOS(Apple Arcade), November 27, 2020 
Million Dungeon, iOS, November 27, 2020 
Embracelet, iOS, November 26, 2020 
Clods Wallup, iOS, November 25, 2020 
Death Pool, iOS, November 25, 2020 
Bridge Constructor: The Walking Dead, iOS, November 19, 2020 
Moonlighter, iOS, November 18, 2020 
The First Tree, iOS, November 18, 2020 
DeLight: The Journey Home, iOS, November 18, 2020 
Hellopet House, iOS, November 17, 2020 
Slay the Beat, iOS, November 16, 2020 
The Pathless, iOS(Apple Arcade), November 12, 2020 
Basketball Arena, iOS, November 11, 2020 
Tiny Robots Recharged, iOS, November 10, 2020 
Frostborn: Coop Survival, iOS, November 10, 2020 
Gnomitaire, iOS, November 10, 2020 
A3: STILL ALIVE, iOS, November 8, 2020 
Reigns: Beyond, iOS, November 6, 2020 
All of You, iOS, November 6, 2020 
Evo Pop, iOS, November 6, 2020 
Forager, iOS, November 6, 2020 
XCOM 2 Collection, iOS, November 5, 2020 
Samorost 2, iOS, November 5, 2020 
Space Marshals 3, iOS, November 4, 2020 
Fruit Ninja 2, iOS, November 4, 2020 
Iris and the Giant, iOS, November 3, 2020 
Shadow Fight Arena, iOS, November 3, 2020 
Sine the Game, iOS, November 3, 2020 
South of the Circle, iOS, October 30, 2020 
Knights Fight 2, iOS, October 29, 2020 
Tales of the Neon Sea, iOS, October 28, 2020 
League of Legends: Wild Rift, iOS, October 27, 2020 
Dark Odds, iOS, October 27, 2020 
Turtoa: Global Rhythm Music, iOS, October 22, 2020 
Badlanders, iOS, October 22, 2020 
FAR: Lone Sails, iOS, October 21, 2020 
ILLUSION CONNECT, iOS, October 21, 2020 
Pixel Pro Golf, iOS, October 20, 2020 
The Collage Atlas, iOS(Apple Arcade), October 16, 2020 
Girabox, iOS, October 14, 2020 
unmemory, iOS, October 13, 2020 
SUIT-UP, iOS, October 11, 2020 
The Survivalists, iOS(Apple Arcade), October 9, 2020 
Laser Quest, iOS, October 9, 2020 
9th Dawn III: Shadow of Erthil, iOS, October 6, 2020 
Slash Quest, iOS(Apple Arcade), October 2, 2020 
Dashero: Sword & Magic, iOS, September 30, 2020 
HoloVista, iOS, September 30, 2020 
Tofu Drifter, iOS, September 29, 2020 
Impossible Space Adventure, iOS, September 29, 2020 
Genshin Impact, iOS, September 28, 2020 
1-800 SUPER, iOS, September 27, 2020 
Dear My Cat, iOS, September 27, 2020 
Tusker's Number Adventure, iOS, September 26, 2020 
Ministry of Broadcast, iOS, September 25, 2020 
Empty., iOS, September 25, 2020 
BTS Universe Story, iOS, September 24, 2020 
Root Board Game, iOS, September 24, 2020 
Rip Them Off, iOS, September 24, 2020 
Harry Potter: Puzzles & Spells, iOS, September 23, 2020 
Golf Skies, iOS, September 23, 2020 
Terafyn, iOS, September 23, 2020 
Mini Football - Mobile soccer, iOS, September 22, 2020 
Raziel: Dungeon Arena, iOS, September 21, 2020 
Grand Alliance, iOS, September 21, 2020 
Soccer Manager 2021, iOS, September 19, 2020 
Marble Knights, iOS(Apple Arcade), September 18, 2020 
TMNT: Mutant Madness, iOS, September 17, 2020 
Idola Phantasy Star Saga, iOS, September 17, 2020 
SWORDSHOT, iOS, September 16, 2020 
Company of Heroes, iOS, September 10, 2020 
A Monster's Expedition, iOS(Apple Arcade), September 10, 2020 
