Title, Platform, Date 
Lode Runner 1, iOS, 2017-05-18 
Timber Tennis, iOS, 2017-05-17 
Chroma Squad, iOS, 2017-05-17 
Arkanoid vs Space Invaders, iOS, 2017-05-17 
No Stick Shooter, iOS, 2017-05-17 
Beauty and the Beast: Perfect Match, iOS, 2017-05-17 
Beholder, iOS, 2017-05-17 
Terminator Genisys: Future War, iOS, 2017-05-16 
Guns of Boom, iOS, 2017-05-16 
Steredenn, iOS, 2017-05-12 
Artificial Superintelligence, iOS, 2017-05-12 
RASTER PRIME, iOS, 2017-05-12 
Miles & Kilo, iOS, 2017-05-12 
Crash Club - Drive & Smash City, iOS, 2017-05-10 
To the Moon, iOS, 2017-05-10 
Run-A-Whale, iOS, 2017-05-10 
Hello Kitty Music Party - Kawaii and Cute!, iOS, 2017-05-10 
Injustice 2, iOS, 2017-05-9 
Kill Shot Virus, iOS, 2017-05-9 
RPG Onigo Hunter, iOS, 2017-05-9 
SPACEPLAN, iOS, 2017-05-4 
Race for the Galaxy, iOS, 2017-05-3 
Battle Bay, iOS, 2017-05-3 
Crosswords With Friends, iOS, 2017-05-3 
Her Majesty's SPIFFING, iOS, 2017-05-3 
Blitz Brigade: Rival Tactics, iOS, 2017-05-3 
Home Run High, iOS, 2017-05-3 
Lightseekers, iOS, 2017-05-3 
Topsoil, iOS, 2017-04-28 
Robot Unicorn Attack 3, iOS, 2017-04-27 
Penarium, iOS, 2017-04-27 
Match Land, iOS, 2017-04-27 
The Bunker, iOS, 2017-04-27 
Pictionary, iOS, 2017-04-26 
Star Wars: Puzzle Droids, iOS, 2017-04-26 
City Mania: Town Building Game, iOS, 2017-04-26 
Antitype, iOS, 2017-04-26 
Family Guy: Another Freakin' Mobile Game, iOS, 2017-04-25 
Super Senso, iOS, 2017-04-25 
Father and Son, iOS, 2017-04-25 
Pengy Has a Dream, iOS, 2017-04-25 
NASCAR Heat Mobile, iOS, 2017-04-21 
Trailer Park Boys: Greasy Money, iOS, 2017-04-20 
Vignettes, iOS, 2017-04-20 
Invert - A Minimal Puzzle Game, iOS, 2017-04-19 
Happy Racing - Top Wheels Game, iOS, 2017-04-19 
Nonstop Chuck Norris, iOS, 2017-04-19 
CATS: Crash Arena Turbo Stars, iOS, 2017-04-19 
DISTRAINT: Pocket Pixel Horror, iOS, 2017-04-19 
Get Me Outta Here, iOS, 2017-04-19 
Marvel's Guardians of the Galaxy - Episode 1: Tangled Up in Blue, iOS, 2017-04-18 
Tempest: Pirate Action RPG, iOS, 2017-04-18 
Office Space: Idle Profits, iOS, 2017-04-18 
Ms. Spell, iOS, 2017-04-18 
Citadel 1986, iOS, 2017-04-16 
Tape it Up!, iOS, 2017-04-13 
Charming Runes - Endless Arcade Block Breaker, iOS, 2017-04-12 
MLB Perfect Inning Live, iOS, 2017-04-12 
Bacon Escape, iOS, 2017-04-12 
