Title, Platform, Date 
Little Nightmares II, Stadia, February 11, 2021 
Journey to the Savage Planet: Employee of the Month Edition, Stadia, February 1, 2021 
TOHU, Stadia, January 28, 2021 
Immortals Fenyx Rising: A New God, Stadia, January 28, 2021 
Hitman 3, Stadia, January 20, 2021 
Scott Pilgrim vs. the World: The Game - Complete Edition, Stadia, January 14, 2021 
Enter the Gungeon, Stadia, December 22, 2020 
Cthulhu Saves Christmas, Stadia, December 22, 2020 
Lara Croft and the Guardian of Light, Stadia, December 21, 2020 
Assassin's Creed Origins, Stadia, December 16, 2020 
Assassin's Creed Syndicate, Stadia, December 16, 2020 
Assassin's Creed Unity, Stadia, December 16, 2020 
Cyberpunk 2077, Stadia, December 10, 2020 
Unto The End, Stadia, December 9, 2020 
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated, Stadia, December 8, 2020 
Valkyria Chronicles 4: Complete Edition, Stadia, December 8, 2020 
Immortals Fenyx Rising, Stadia, December 3, 2020 
PHOGS!, Stadia, December 3, 2020 
El Hijo: A Wild West Tale, Stadia, December 3, 2020 
Submerged: Hidden Depths, Stadia, December 3, 2020 
Monster Jam Steel Titans, Stadia, December 2, 2020 
Outcasters, Stadia, December 1, 2020 
Chronos: Before the Ashes, Stadia, December 1, 2020 
Dead by Daylight: A Binding of Kin, Stadia, December 1, 2020 
Mortal Kombat 11 Ultimate, Stadia, November 17, 2020 
Mortal Kombat 11: Kombat Pack 2, Stadia, November 17, 2020 
Pac-Man: Mega Tunnel Battle, Stadia, November 17, 2020 
Just Dance 2021, Stadia, November 12, 2020 
Family Feud, Stadia, November 12, 2020 
Assassin's Creed Valhalla, Stadia, November 10, 2020 
Destiny 2: Beyond Light, Stadia, November 10, 2020 
Borderlands 3: Designer's Cut, Stadia, November 10, 2020 
Ary and the Secret of Seasons, Stadia, November 5, 2020 
The Gardens Between, Stadia, November 1, 2020 
Watch Dogs: Legion, Stadia, October 29, 2020 
Sekiro: Shadows Die Twice, Stadia, October 29, 2020 
DOOM Eternal: The Ancient Gods Part One, Stadia, October 20, 2020 
Cake Bash, Stadia, October 15, 2020 
Human: Fall Flat, Stadia, October 2, 2020 
Celeste, Stadia, October 1, 2020 
Dead by Daylight, Stadia, October 1, 2020 
Serious Sam 4, Stadia, September 24, 2020 
WWE 2K Battlegrounds, Stadia, September 18, 2020 
Uno, Stadia, September 15, 2020 
Marvel's Avengers, Stadia, September 4, 2020 
NBA 2K21, Stadia, September 4, 2020 
Super Bomberman R Online, Stadia, September 1, 2020 
Hitman 2, Stadia, September 1, 2020 
Hitman, Stadia, September 1, 2020 
Windbound, Stadia, August 28, 2020 
PGA Tour 2K21, Stadia, August 21, 2020 
Rock of Ages 3: Make & Break, Stadia, August 14, 2020 
Relicta, Stadia, August 4, 2020 
Kona, Stadia, August 1, 2020 
Strange Brigade, Stadia, August 1, 2020 
Destroy All Humans!, Stadia, July 28, 2020 
Orcs Must Die! 3, Stadia, July 14, 2020 
F1 2020, Stadia, July 6, 2020 
West of Loathing, Stadia, July 1, 2020 
Monster Boy and the Cursed Kingdom, Stadia, July 1, 2020 
Crayta, Stadia, July 1, 2020 
Just Shapes & Beats, Stadia, June 30, 2020 
Wave Break, Stadia, June 23, 2020 
Metro: Last Light Redux, Stadia, June 23, 2020 
Metro: 2033 Redux, Stadia, June 23, 2020 
The Elder Scrolls Online, Stadia, June 16, 2020 
The Elder Scrolls Online: Greymoor, Stadia, June 9, 2020 
Power Rangers: Battle for the Grid, Stadia, June 1, 2020 
SUPERHOT, Stadia, June 1, 2020 
Panzer Dragoon (Remake), Stadia, June 1, 2020 
Little Nightmares, Stadia, June 1, 2020 
Mortal Kombat 11: Aftermath, Stadia, May 26, 2020 
Sundered: Eldritch Edition, Stadia, May 26, 2020 
Jotun: Valhalla Edition, Stadia, May 26, 2020 
Embr, Stadia, May 21, 2020 
DOOM 64, Stadia, May 12, 2020 
The Turing Test, Stadia, May 1, 2020 
Zombie Army 4: Dead War, Stadia, May 1, 2020 
Get Packed, Stadia, April 28, 2020 
Monopoly, Stadia, April 28, 2020 
PlayerUnknown's Battlegrounds, Stadia, April 28, 2020 
Octopath Traveler, Stadia, April 28, 2020 
MotoGP 20, Stadia, April 23, 2020 
Stacks On Stacks (On Stacks), Stadia, April 1, 2020 
Lost Words: Beyond the Page, Stadia, March 27, 2020 
The Crew 2, Stadia, March 25, 2020 
DOOM Eternal, Stadia, March 20, 2020 
Tom Clancy's The Division 2, Stadia, March 17, 2020 
SteamWorld Dig, Stadia, March 10, 2020 
SteamWorld Heist, Stadia, March 10, 2020 
SteamWorld Quest: Hand of Gilgamech, Stadia, March 1, 2020 
SteamWorld Dig 2, Stadia, March 1, 2020 
SPITLINGS, Stadia, February 25, 2020 
Monster Energy Supercross - The Official Videogame 3, Stadia, February 4, 2020 
Tom Clancy's Ghost Recon: Breakpoint, Stadia, December 18, 2019 
Borderlands 3, Stadia, December 17, 2019 
Dragon Ball: Xenoverse 2, Stadia, December 17, 2019 
GYLT, Stadia, November 19, 2019 
Destiny 2: The Collection, Stadia, November 19, 2019 
Tomb Raider: Definitive Edition, Stadia, November 19, 2019 
