Title, Platform, Date 
Little Nightmares II, Stadia, 2021-02-11 
Journey to the Savage Planet: Employee of the Month Edition, Stadia, 2021-02-1 
TOHU, Stadia, 2021-01-28 
Immortals Fenyx Rising: A New God, Stadia, 2021-01-28 
Hitman 3, Stadia, 2021-01-20 
Scott Pilgrim vs. the World: The Game - Complete Edition, Stadia, 2021-01-14 
Enter the Gungeon, Stadia, 2020-12-22 
Cthulhu Saves Christmas, Stadia, 2020-12-22 
Lara Croft and the Guardian of Light, Stadia, 2020-12-21 
Assassin's Creed Origins, Stadia, 2020-12-16 
Assassin's Creed Syndicate, Stadia, 2020-12-16 
Assassin's Creed Unity, Stadia, 2020-12-16 
Cyberpunk 2077, Stadia, 2020-12-10 
Unto The End, Stadia, 2020-12-9 
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated, Stadia, 2020-12-8 
Valkyria Chronicles 4: Complete Edition, Stadia, 2020-12-8 
Immortals Fenyx Rising, Stadia, 2020-12-3 
PHOGS!, Stadia, 2020-12-3 
El Hijo: A Wild West Tale, Stadia, 2020-12-3 
Submerged: Hidden Depths, Stadia, 2020-12-3 
Monster Jam Steel Titans, Stadia, 2020-12-2 
Outcasters, Stadia, 2020-12-1 
Chronos: Before the Ashes, Stadia, 2020-12-1 
Dead by Daylight: A Binding of Kin, Stadia, 2020-12-1 
Mortal Kombat 11 Ultimate, Stadia, 2020-11-17 
Mortal Kombat 11: Kombat Pack 2, Stadia, 2020-11-17 
Pac-Man: Mega Tunnel Battle, Stadia, 2020-11-17 
Just Dance 2021, Stadia, 2020-11-12 
Family Feud, Stadia, 2020-11-12 
Assassin's Creed Valhalla, Stadia, 2020-11-10 
Destiny 2: Beyond Light, Stadia, 2020-11-10 
Borderlands 3: Designer's Cut, Stadia, 2020-11-10 
Ary and the Secret of Seasons, Stadia, 2020-11-5 
The Gardens Between, Stadia, 2020-11-1 
Watch Dogs: Legion, Stadia, 2020-10-29 
Sekiro: Shadows Die Twice, Stadia, 2020-10-29 
DOOM Eternal: The Ancient Gods Part One, Stadia, 2020-10-20 
Cake Bash, Stadia, 2020-10-15 
Human: Fall Flat, Stadia, 2020-10-2 
Celeste, Stadia, 2020-10-1 
Dead by Daylight, Stadia, 2020-10-1 
Serious Sam 4, Stadia, 2020-09-24 
WWE 2K Battlegrounds, Stadia, 2020-09-18 
Uno, Stadia, 2020-09-15 
Marvel's Avengers, Stadia, 2020-09-4 
NBA 2K21, Stadia, 2020-09-4 
Super Bomberman R Online, Stadia, 2020-09-1 
Hitman 2, Stadia, 2020-09-1 
Hitman, Stadia, 2020-09-1 
Windbound, Stadia, 2020-08-28 
PGA Tour 2K21, Stadia, 2020-08-21 
Rock of Ages 3: Make & Break, Stadia, 2020-08-14 
Relicta, Stadia, 2020-08-4 
Kona, Stadia, 2020-08-1 
Strange Brigade, Stadia, 2020-08-1 
Destroy All Humans!, Stadia, 2020-07-28 
Orcs Must Die! 3, Stadia, 2020-07-14 
F1 2020, Stadia, 2020-07-6 
West of Loathing, Stadia, 2020-07-1 
Monster Boy and the Cursed Kingdom, Stadia, 2020-07-1 
Crayta, Stadia, 2020-07-1 
Just Shapes & Beats, Stadia, 2020-06-30 
Wave Break, Stadia, 2020-06-23 
Metro: Last Light Redux, Stadia, 2020-06-23 
Metro: 2033 Redux, Stadia, 2020-06-23 
The Elder Scrolls Online, Stadia, 2020-06-16 
The Elder Scrolls Online: Greymoor, Stadia, 2020-06-9 
Power Rangers: Battle for the Grid, Stadia, 2020-06-1 
SUPERHOT, Stadia, 2020-06-1 
Panzer Dragoon (Remake), Stadia, 2020-06-1 
Little Nightmares, Stadia, 2020-06-1 
Mortal Kombat 11: Aftermath, Stadia, 2020-05-26 
Sundered: Eldritch Edition, Stadia, 2020-05-26 
Jotun: Valhalla Edition, Stadia, 2020-05-26 
Embr, Stadia, 2020-05-21 
DOOM 64, Stadia, 2020-05-12 
The Turing Test, Stadia, 2020-05-1 
Zombie Army 4: Dead War, Stadia, 2020-05-1 
Get Packed, Stadia, 2020-04-28 
Monopoly, Stadia, 2020-04-28 
PlayerUnknown's Battlegrounds, Stadia, 2020-04-28 
Octopath Traveler, Stadia, 2020-04-28 
MotoGP 20, Stadia, 2020-04-23 
Stacks On Stacks (On Stacks), Stadia, 2020-04-1 
Lost Words: Beyond the Page, Stadia, 2020-03-27 
The Crew 2, Stadia, 2020-03-25 
DOOM Eternal, Stadia, 2020-03-20 
Tom Clancy's The Division 2, Stadia, 2020-03-17 
SteamWorld Dig, Stadia, 2020-03-10 
SteamWorld Heist, Stadia, 2020-03-10 
SteamWorld Quest: Hand of Gilgamech, Stadia, 2020-03-1 
SteamWorld Dig 2, Stadia, 2020-03-1 
SPITLINGS, Stadia, 2020-02-25 
Monster Energy Supercross - The Official Videogame 3, Stadia, 2020-02-4 
Tom Clancy's Ghost Recon: Breakpoint, Stadia, 2019-12-18 
Borderlands 3, Stadia, 2019-12-17 
Dragon Ball: Xenoverse 2, Stadia, 2019-12-17 
GYLT, Stadia, 2019-11-19 
Destiny 2: The Collection, Stadia, 2019-11-19 
Tomb Raider: Definitive Edition, Stadia, 2019-11-19 
