Title, Platform, Date 
Offroad Mini Racing, Switch, February 20, 2021 
Ski Jump Challenge, Switch, February 20, 2021 
Thomas Was Alone, Switch, February 19, 2021 
PUSS!, Switch, February 19, 2021 
Doom & Destiny Advanced, Switch, February 19, 2021 
Boom Blaster, Switch, February 19, 2021 
Steven Universe: Unleash the Light, Switch, February 19, 2021 
Retro Fighter - Dragon's Revenge, Switch, February 19, 2021 
Blizzard Arcade Collection, Switch, February 19, 2021 
Raspberry Mash, Switch, February 18, 2021 
Cathedral, Switch, February 18, 2021 
Speed Limit, Switch, February 18, 2021 
Anodyne 2: Return to Dust, Switch, February 18, 2021 
Cape's Escape Game 2nd room, Switch, February 18, 2021 
Crazy Oce, Switch, February 18, 2021 
Glam, Switch, February 18, 2021 
Astrologaster, Switch, February 18, 2021 
Black Jack World Tour, Switch, February 18, 2021 
Rodent Warriors, Switch, February 18, 2021 
Arcade Archives: Cybattler, Switch, February 18, 2021 
Gemini, Switch, February 18, 2021 
Capcom Arcade Stadium, Switch, February 17, 2021 
Void Gore, Switch, February 17, 2021 
SNK vs. Capcom: Match of the Millennium, Switch, February 17, 2021 
Project Triangle Strategy Debut Demo, Switch, February 17, 2021 
Ace Invaders, Switch, February 17, 2021 
Fallen Legion: Revenants, Switch, February 16, 2021 
#DRIVE, Switch, February 16, 2021 
Azur Lane: Crosswave, Switch, February 16, 2021 
BRUTAL RAGE, Switch, February 16, 2021 
Burger Master, Switch, February 16, 2021 
Escape Route, Switch, February 15, 2021 
Half Past Fate: Romantic Distancing, Switch, February 14, 2021 
Stealth, Switch, February 13, 2021 
Halloween Forever, Switch, February 12, 2021 
Super Mario 3D World + Bowser's Fury, Switch, February 12, 2021 
Gal*Gun Returns, Switch, February 12, 2021 
#1 Crosswords, Switch, February 12, 2021 
UltraGoodness 2, Switch, February 12, 2021 
Steamroll, Switch, February 12, 2021 
Aground, Switch, February 11, 2021 
Little Nightmares II, Switch, February 11, 2021 
UnderMine, Switch, February 11, 2021 
Romance of the Three Kingdoms XIV: Diplomacy and Strategy Expansion Pack Bundle, Switch, February 11, 2021 
Knight's Retreat, Switch, February 11, 2021 
Tri6: Infinite, Switch, February 11, 2021 
The Flower Collectors, Switch, February 11, 2021 
Summer Catchers, Switch, February 11, 2021 
Negative: The Way of Shinobi, Switch, February 11, 2021 
Healer's Quest, Switch, February 11, 2021 
Arcade Archives: Thunder Cross, Switch, February 11, 2021 
Escape First 2, Switch, February 11, 2021 
Persephone, Switch, February 11, 2021 
Choices That Matter: And Their Heroes Were Lost, Switch, February 10, 2021 
#SinucaAttack, Switch, February 10, 2021 
Free Throw Basketball, Switch, February 10, 2021 
The Outer Worlds: Peril on Gorgon, Switch, February 10, 2021 
My Universe: Pet Clinic Cats and Dogs, Switch, February 9, 2021 
Hero-U: Rogue to Redemption, Switch, February 9, 2021 
Hexagon Defense, Switch, February 9, 2021 
Contract Killers, Switch, February 8, 2021 
Smash Boats, Switch, February 8, 2021 
Urban Street Fighting, Switch, February 6, 2021 
Bubble Bubble Ocean, Switch, February 6, 2021 
Glittering Sword, Switch, February 5, 2021 
How to Take Off Your Mask Remastered, Switch, February 5, 2021 
Jumping Stack Ball, Switch, February 5, 2021 
Joker Poker - Video Poker, Switch, February 5, 2021 
Haven, Switch, February 4, 2021 
Blue Fire, Switch, February 4, 2021 
Conarium, Switch, February 4, 2021 
Skyforge, Switch, February 4, 2021 
Binarystar Infinity, Switch, February 4, 2021 
Grey Skies: A War of the Worlds Story, Switch, February 4, 2021 
Odysseus Kosmos and his Robot Quest, Switch, February 4, 2021 
NUTS, Switch, February 4, 2021 
Kowloon High-School Chronicle, Switch, February 4, 2021 
Football Cup 2021, Switch, February 4, 2021 
Flying Hero X, Switch, February 4, 2021 
Station Manager, Switch, February 4, 2021 
Byakko-tai Samurai Boys, Switch, February 4, 2021 
Escape 2088, Switch, February 4, 2021 
Super Meatball, Switch, February 4, 2021 
Blow Up Monsters, Switch, February 4, 2021 
Magical Maze, Switch, February 4, 2021 
Arcade Archives: Ninja Kazan, Switch, February 4, 2021 
Habroxia 2, Switch, February 3, 2021 
Cultist Simulator: Initiate Edition, Switch, February 2, 2021 
Glyph, Switch, February 1, 2021 
Cresteaju, Switch, February 1, 2021 
Silver Chains, Switch, January 29, 2021 
Bonkies, Switch, January 29, 2021 
Re:ZERO - Starting Life in Another World: The Prophecy of the Throne, Switch, January 29, 2021 
Burn! SuperTrucks, Switch, January 29, 2021 
CROSSBOW: Bloodnight, Switch, January 29, 2021 
Chill Panda, Switch, January 29, 2021 
Cooking Festival, Switch, January 29, 2021 
Vera Blanc: Ghost In The Castle, Switch, January 29, 2021 
Caves and Castles: Underworld, Switch, January 29, 2021 
Space Blast Zom A Matching Game, Switch, January 29, 2021 
