Title, Platform, Date 
Monster Hunter Generations Ultimate, Switch, 2018-08-28 
The Walking Dead: The Telltale Series - The Final Season, Switch, 2018-08-28 
de Blob 2, Switch, 2018-08-28 
Rocket League: Ultimate Edition, Switch, 2018-08-28 
Dragon Ball Xenoverse 2: Extra Pack 3, Switch, 2018-08-28 
Little Dragons Cafe, Switch, 2018-08-24 
Earthworms, Switch, 2018-08-24 
Space Ribbon, Switch, 2018-08-24 
Kero Blaster, Switch, 2018-08-23 
The Low Road, Switch, 2018-08-23 
Flood of Light, Switch, 2018-08-23 
Hollow Knight: Godmaster, Switch, 2018-08-23 
ACA NeoGeo: Crossed Swords, Switch, 2018-08-23 
Shio, Switch, 2018-08-23 
Sky Gamblers: Storm Raiders, Switch, 2018-08-23 
HackyZack, Switch, 2018-08-23 
Behind the Screen, Switch, 2018-08-23 
Fernz Gate, Switch, 2018-08-23 
My Farm, Switch, 2018-08-23 
Toy Stunt Bike: Tiptop's Trials, Switch, 2018-08-23 
Bloxiq, Switch, 2018-08-23 
Out Of The Box, Switch, 2018-08-22 
The Escapists 2: The Glorious Regime, Switch, 2018-08-22 
All-Star Fruit Racing, Switch, 2018-08-21 
Morphies Law, Switch, 2018-08-20 
Spectrum, Switch, 2018-08-20 
Bad North, Switch, 2018-08-20 
Prison Architect: Nintendo Switch Edition, Switch, 2018-08-20 
Polygod, Switch, 2018-08-17 
Detective Gallo, Switch, 2018-08-17 
Treadnauts, Switch, 2018-08-17 
Persian Nights: Sands of Wonders, Switch, 2018-08-17 
Next Up Hero, Switch, 2018-08-16 
Keep Talking and Nobody Explodes, Switch, 2018-08-16 
Manual Samuel, Switch, 2018-08-16 
ACA NeoGeo: Real Bout Fatal Fury 2, Switch, 2018-08-16 
Johnny Turbo's Arcade: Nitro Ball, Switch, 2018-08-16 
CastleStorm, Switch, 2018-08-16 
Red's Kingdom, Switch, 2018-08-16 
Pic-a-Pix Deluxe: Small Puzzles 8, Switch, 2018-08-16 
Pic-a-Pix Deluxe: Large Puzzles 8, Switch, 2018-08-16 
Pic-a-Pix Deluxe: Mixed Puzzles 8, Switch, 2018-08-16 
Robbotto, Switch, 2018-08-16 
EXTREME POKER, Switch, 2018-08-16 
Penguin Wars, Switch, 2018-08-15 
State of Mind, Switch, 2018-08-15 
The Walking Dead: The Telltale Series - The Final Season Episode 1: Done Running, Switch, 2018-08-14 
Cosmic Star Heroine, Switch, 2018-08-14 
FunBox Party, Switch, 2018-08-14 
