Title, Platform, Date 
Gravity Heroes, Xbox One, February 19, 2021 
Speed Limit, Xbox One, February 19, 2021 
PUSS!, Xbox One, February 19, 2021 
Boom Blaster, Xbox One, February 19, 2021 
Steven Universe: Unleash the Light, Xbox One, February 19, 2021 
Rodent Warriors, Xbox One, February 19, 2021 
Blizzard Arcade Collection, Xbox One, February 19, 2021 
Anodyne 2: Return to Dust, Xbox One, February 18, 2021 
Kick it, Bunny!, Xbox One, February 17, 2021 
Void Gore, Xbox One, February 17, 2021 
Future Ninja, Xbox One, February 17, 2021 
Necromunda: Underhive Wars - Cawdor Gang, Xbox One, February 16, 2021 
Rover Wars : Battle for Mars, Xbox One, February 12, 2021 
Endurance: Space Action, Xbox One, February 12, 2021 
RoboPhobik, Xbox One, February 12, 2021 
Persian Nights 2: The Moonlight Veil, Xbox One, February 12, 2021 
Firework - a modern tale, Xbox One, February 12, 2021 
Geometry Ball Jump, Xbox One, February 12, 2021 
The StoryTale, Xbox One, February 12, 2021 
Aground, Xbox One, February 11, 2021 
Little Nightmares II, Xbox One, February 11, 2021 
On The Road The Truck Simulator, Xbox One, February 11, 2021 
Knight's Retreat, Xbox One, February 11, 2021 
#SinucaAttack, Xbox One, February 10, 2021 
UltraGoodness 2, Xbox One, February 10, 2021 
The Wild Eight, Xbox One, February 9, 2021 
Glittering Sword, Xbox One, February 5, 2021 
Roombo: First Blood, Xbox One, February 5, 2021 
How to Take Off Your Mask Remastered, Xbox One, February 5, 2021 
Pacer, Xbox One, February 4, 2021 
Werewolf: The Apocalypse - Earthblood, Xbox One, February 4, 2021 
Project Winter, Xbox One, February 4, 2021 
Habroxia 2, Xbox One, February 3, 2021 
Get 10 Quest, Xbox One, February 3, 2021 
Knight Arcade, Xbox One, February 3, 2021 
Bonkies, Xbox One, January 29, 2021 
Gods Will Fall, Xbox One, January 29, 2021 
Another Dawn, Xbox One, January 29, 2021 
Caves and Castles: Underworld, Xbox One, January 29, 2021 
Crashlands, Xbox One, January 29, 2021 
Disjunction, Xbox One, January 28, 2021 
Golden Force, Xbox One, January 28, 2021 
TOHU, Xbox One, January 28, 2021 
Sword of the Necromancer, Xbox One, January 28, 2021 
Olija, Xbox One, January 28, 2021 
The Yakuza Remastered Collection, Xbox One, January 28, 2021 
Yakuza 3 Remastered, Xbox One, January 28, 2021 
Yakuza 4 Remastered, Xbox One, January 28, 2021 
Yakuza 5 Remastered, Xbox One, January 28, 2021 
Royal Tower Defense, Xbox One, January 28, 2021 
Immortals Fenyx Rising: A New God, Xbox One, January 28, 2021 
Prison Architect: Going Green, Xbox One, January 28, 2021 
The Dark Eye: Memoria, Xbox One, January 27, 2021 
The Dark Eye: Chains of Satinav, Xbox One, January 27, 2021 
Hyposphere: Rebirth, Xbox One, January 27, 2021 
Project Starship X, Xbox One, January 27, 2021 
Butterfly, Xbox One, January 27, 2021 
Vera Blanc: Ghost In The Castle, Xbox One, January 27, 2021 
Cyber Shadow, Xbox One, January 26, 2021 
Dead Cells: Fatal Falls, Xbox One, January 26, 2021 
The Sims 4: Paranormal Stuff Pack, Xbox One, January 26, 2021 
LAVA JUMP 2D, Xbox One, January 23, 2021 
Redout: Space Assault, Xbox One, January 22, 2021 
Skycadia, Xbox One, January 22, 2021 
ADVERSE, Xbox One, January 22, 2021 
Shing!, Xbox One, January 21, 2021 
Air Bounce - The Jump 'n' Run Challenge, Xbox One, January 21, 2021 
Unspottable, Xbox One, January 21, 2021 
Teratopia, Xbox One, January 20, 2021 
Hitman 3, Xbox One, January 20, 2021 
Marble Duel, Xbox One, January 20, 2021 
Balancelot, Xbox One, January 20, 2021 
Contra Evil, Xbox One, January 20, 2021 
TAURONOS, Xbox One, January 19, 2021 
Jet Kave Adventure, Xbox One, January 15, 2021 
Outbreak: The New Nightmare - Definitive Edition, Xbox One, January 15, 2021 
Loot Hero DX, Xbox One, January 15, 2021 
The Childs Sight, Xbox One, January 15, 2021 
SKULL HOP, Xbox One, January 15, 2021 
Down in Bermuda, Xbox One, January 14, 2021 
Scott Pilgrim vs. the World: The Game - Complete Edition, Xbox One, January 14, 2021 
Life of Fly, Xbox One, January 14, 2021 
Elefox Adventure, Xbox One, January 14, 2021 
Glitch's Trip, Xbox One, January 13, 2021 
Oneiros, Xbox One, January 13, 2021 
The Pillar: Puzzle Escape, Xbox One, January 13, 2021 
Five Nights at Freddy's: Core Collection, Xbox One, January 12, 2021 
Doodle Puzzle, Xbox One, January 11, 2021 
Moonlight Fantasy, Xbox One, January 11, 2021 
KAUIL'S TREASURE, Xbox One, January 8, 2021 
Iris.Fall, Xbox One, January 7, 2021 
Blacksmith of the Sand Kingdom, Xbox One, January 7, 2021 
Summer in Mara, Xbox One, January 5, 2021 
Magic Action 2021, Xbox One, January 5, 2021 
Rack N Ruin, Xbox One, January 1, 2021 
Star Child, Xbox One, December 31, 2020 
Back to Belt, Xbox One, December 30, 2020 
Noble Armada: Lost Worlds, Xbox One, December 29, 2020 
Super Sports Blast, Xbox One, December 25, 2020 
Elliot, Xbox One, December 24, 2020 
