Title, Platform, Date 
Anodyne 2: Return to Dust, Xbox Series X, February 18, 2021 
Outbreak: Lost Hope, Xbox Series X, February 12, 2021 
Persian Nights 2: The Moonlight Veil, Xbox Series X, February 12, 2021 
UltraGoodness 2, Xbox Series X, February 10, 2021 
Werewolf: The Apocalypse - Earthblood, Xbox Series X, February 4, 2021 
Control: Ultimate Edition, Xbox Series X, February 2, 2021 
Another Dawn, Xbox Series X, January 29, 2021 
The Medium, Xbox Series X, January 28, 2021 
Immortals Fenyx Rising: A New God, Xbox Series X, January 28, 2021 
The Dark Eye: Chains of Satinav, Xbox Series X, January 27, 2021 
Skycadia, Xbox Series X, January 22, 2021 
RIDE 4, Xbox Series X, January 21, 2021 
Hitman 3, Xbox Series X, January 20, 2021 
Marble Duel, Xbox Series X, January 20, 2021 
Outbreak: The New Nightmare - Definitive Edition, Xbox Series X, January 15, 2021 
MXGP 2020 - The Official Motocross Videogame, Xbox Series X, January 14, 2021 
Blacksmith of the Sand Kingdom, Xbox Series X, January 7, 2021 
Desperados III, Xbox Series X, January 1, 2021 
Override 2: Super Mech League, Xbox Series X, December 22, 2020 
Freddy Spaghetti, Xbox Series X, December 16, 2020 
Gears 5 Game of the Year Edition, Xbox Series X, December 15, 2020 
Gears 5: Hivebusters, Xbox Series X, December 15, 2020 
Morkredd, Xbox Series X, December 10, 2020 
Kid Tripp, Xbox Series X, December 10, 2020 
Call of the Sea, Xbox Series X, December 8, 2020 
Destiny 2, Xbox Series X, December 8, 2020 
Puyo Puyo Tetris 2, Xbox Series X, December 8, 2020 
Madden NFL 21, Xbox Series X, December 4, 2020 
FIFA 21, Xbox Series X, December 4, 2020 
Neon Chrome, Xbox Series X, December 4, 2020 
Tesla vs Lovecraft, Xbox Series X, December 4, 2020 
Haven, Xbox Series X, December 3, 2020 
Immortals Fenyx Rising, Xbox Series X, December 3, 2020 
Star Wars: Squadrons, Xbox Series X, December 3, 2020 
Tannenberg, Xbox Series X, December 3, 2020 
Tom Clancy's Rainbow Six Siege, Xbox Series X, December 1, 2020 
Dead by Daylight: A Binding of Kin, Xbox Series X, December 1, 2020 
Football Manager 2021, Xbox Series X, November 30, 2020 
Tesla Force, Xbox Series X, November 27, 2020 
Rogue Company, Xbox Series X, November 25, 2020 
Bridge Constructor: The Walking Dead, Xbox Series X, November 19, 2020 
Poker Club, Xbox Series X, November 19, 2020 
JYDGE, Xbox Series X, November 19, 2020 
Need for Speed: Hot Pursuit Remastered, Xbox Series X, November 19, 2020 
Mortal Kombat 11 Ultimate, Xbox Series X, November 17, 2020 
Mortal Kombat 11: Kombat Pack 2, Xbox Series X, November 17, 2020 
Call of Duty: Black Ops Cold War, Xbox Series X, November 13, 2020 
Beat Me!, Xbox Series X, November 13, 2020 
Just Dance 2021, Xbox Series X, November 12, 2020 
DIRT 5, Xbox Series X, November 10, 2020 
Destiny 2: Beyond Light, Xbox Series X, November 10, 2020 
Gears 5, Xbox Series X, November 10, 2020 
Sea of Thieves, Xbox Series X, November 10, 2020 
Ori and the Will of the Wisps, Xbox Series X, November 10, 2020 
WRC 9 FIA World Rally Championship, Xbox Series X, November 10, 2020 
Assassin's Creed Valhalla, Xbox Series X, November 10, 2020 
Yakuza: Like a Dragon, Xbox Series X, November 10, 2020 
Fortnite, Xbox Series X, November 10, 2020 
Observer: System Redux, Xbox Series X, November 10, 2020 
Planet Coaster: Console Edition, Xbox Series X, November 10, 2020 
NBA 2K21, Xbox Series X, November 10, 2020 
Warhammer: Chaosbane, Xbox Series X, November 10, 2020 
Watch Dogs: Legion, Xbox Series X, November 10, 2020 
Overcooked! All You Can Eat, Xbox Series X, November 10, 2020 
Tetris Effect: Connected, Xbox Series X, November 10, 2020 
Dead by Daylight, Xbox Series X, November 10, 2020 
Gears Tactics, Xbox Series X, November 10, 2020 
The Falconeer, Xbox Series X, November 10, 2020 
Borderlands 3, Xbox Series X, November 10, 2020 
Devil May Cry 5: Special Edition, Xbox Series X, November 10, 2020 
Bright Memory, Xbox Series X, November 10, 2020 
Maneater, Xbox Series X, November 10, 2020 
For Honor, Xbox Series X, November 10, 2020 
Manifold Garden, Xbox Series X, November 10, 2020 
Enlisted, Xbox Series X, November 10, 2020 
Borderlands 3: Designer's Cut, Xbox Series X, November 10, 2020 
Evergate, Xbox Series X, November 10, 2020 
The Touryst, Xbox Series X, November 10, 2020 
Spacelords, Xbox Series X, November 10, 2020 
Forza Horizon 4, Xbox Series X, November 10, 2020 
