Title, Platform, Date 
Anodyne 2: Return to Dust, Xbox Series X, 2021-02-18 
Outbreak: Lost Hope, Xbox Series X, 2021-02-12 
Persian Nights 2: The Moonlight Veil, Xbox Series X, 2021-02-12 
UltraGoodness 2, Xbox Series X, 2021-02-10 
Werewolf: The Apocalypse - Earthblood, Xbox Series X, 2021-02-4 
Control: Ultimate Edition, Xbox Series X, 2021-02-2 
Another Dawn, Xbox Series X, 2021-01-29 
The Medium, Xbox Series X, 2021-01-28 
Immortals Fenyx Rising: A New God, Xbox Series X, 2021-01-28 
The Dark Eye: Chains of Satinav, Xbox Series X, 2021-01-27 
Skycadia, Xbox Series X, 2021-01-22 
RIDE 4, Xbox Series X, 2021-01-21 
Hitman 3, Xbox Series X, 2021-01-20 
Marble Duel, Xbox Series X, 2021-01-20 
Outbreak: The New Nightmare - Definitive Edition, Xbox Series X, 2021-01-15 
MXGP 2020 - The Official Motocross Videogame, Xbox Series X, 2021-01-14 
Blacksmith of the Sand Kingdom, Xbox Series X, 2021-01-7 
Desperados III, Xbox Series X, 2021-01-1 
Override 2: Super Mech League, Xbox Series X, 2020-12-22 
Freddy Spaghetti, Xbox Series X, 2020-12-16 
Gears 5 Game of the Year Edition, Xbox Series X, 2020-12-15 
Gears 5: Hivebusters, Xbox Series X, 2020-12-15 
Morkredd, Xbox Series X, 2020-12-10 
Kid Tripp, Xbox Series X, 2020-12-10 
Call of the Sea, Xbox Series X, 2020-12-8 
Destiny 2, Xbox Series X, 2020-12-8 
Puyo Puyo Tetris 2, Xbox Series X, 2020-12-8 
Madden NFL 21, Xbox Series X, 2020-12-4 
FIFA 21, Xbox Series X, 2020-12-4 
Neon Chrome, Xbox Series X, 2020-12-4 
Tesla vs Lovecraft, Xbox Series X, 2020-12-4 
Haven, Xbox Series X, 2020-12-3 
Immortals Fenyx Rising, Xbox Series X, 2020-12-3 
Star Wars: Squadrons, Xbox Series X, 2020-12-3 
Tannenberg, Xbox Series X, 2020-12-3 
Tom Clancy's Rainbow Six Siege, Xbox Series X, 2020-12-1 
Dead by Daylight: A Binding of Kin, Xbox Series X, 2020-12-1 
Football Manager 2021, Xbox Series X, 2020-11-30 
Tesla Force, Xbox Series X, 2020-11-27 
Rogue Company, Xbox Series X, 2020-11-25 
Bridge Constructor: The Walking Dead, Xbox Series X, 2020-11-19 
Poker Club, Xbox Series X, 2020-11-19 
JYDGE, Xbox Series X, 2020-11-19 
Need for Speed: Hot Pursuit Remastered, Xbox Series X, 2020-11-19 
Mortal Kombat 11 Ultimate, Xbox Series X, 2020-11-17 
Mortal Kombat 11: Kombat Pack 2, Xbox Series X, 2020-11-17 
Call of Duty: Black Ops Cold War, Xbox Series X, 2020-11-13 
Beat Me!, Xbox Series X, 2020-11-13 
Just Dance 2021, Xbox Series X, 2020-11-12 
DIRT 5, Xbox Series X, 2020-11-10 
Destiny 2: Beyond Light, Xbox Series X, 2020-11-10 
Gears 5, Xbox Series X, 2020-11-10 
Sea of Thieves, Xbox Series X, 2020-11-10 
Ori and the Will of the Wisps, Xbox Series X, 2020-11-10 
WRC 9 FIA World Rally Championship, Xbox Series X, 2020-11-10 
Assassin's Creed Valhalla, Xbox Series X, 2020-11-10 
Yakuza: Like a Dragon, Xbox Series X, 2020-11-10 
Fortnite, Xbox Series X, 2020-11-10 
Observer: System Redux, Xbox Series X, 2020-11-10 
Planet Coaster: Console Edition, Xbox Series X, 2020-11-10 
NBA 2K21, Xbox Series X, 2020-11-10 
Warhammer: Chaosbane, Xbox Series X, 2020-11-10 
Watch Dogs: Legion, Xbox Series X, 2020-11-10 
Overcooked! All You Can Eat, Xbox Series X, 2020-11-10 
Tetris Effect: Connected, Xbox Series X, 2020-11-10 
Dead by Daylight, Xbox Series X, 2020-11-10 
Gears Tactics, Xbox Series X, 2020-11-10 
The Falconeer, Xbox Series X, 2020-11-10 
Borderlands 3, Xbox Series X, 2020-11-10 
Devil May Cry 5: Special Edition, Xbox Series X, 2020-11-10 
Bright Memory, Xbox Series X, 2020-11-10 
Maneater, Xbox Series X, 2020-11-10 
For Honor, Xbox Series X, 2020-11-10 
Manifold Garden, Xbox Series X, 2020-11-10 
Enlisted, Xbox Series X, 2020-11-10 
Borderlands 3: Designer's Cut, Xbox Series X, 2020-11-10 
Evergate, Xbox Series X, 2020-11-10 
The Touryst, Xbox Series X, 2020-11-10 
Spacelords, Xbox Series X, 2020-11-10 
Forza Horizon 4, Xbox Series X, 2020-11-10 
